"","Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","RainToday","Humidity9am","Cloud9am","Pressure9am","WindDir9am","WindDir3pm","RainTomorrow"
"21","Perth",7.5,24.5,0,"NW",19,"No",69,7,1021.2,"NE","WNW","No"
"22","Perth",15.4,20.8,5,"SSW",37,"No",63,6,1021.6,"SSW","SW","No"
"23","Nuriootpa",9.4,20,0,"SE",43,"No",67,2,1021,"S","SSE","No"
"24","PerthAirport",5.9,14.3,0.8,"N",39,"No",79,7,1025.5,"N","N","No"
"25","PerthAirport",16.2,19.3,0,"WSW",48,"Yes",68,8,1013.8,"WNW","WSW","Yes"
"26","Wollongong",15.8,19.4,0,"E",44,"Yes",88,8,1017.3,"SW","SSW","No"
"27","Perth",14.3,23.4,2.2,"SW",33,"Yes",64,3,1017.3,"WSW","W","No"
"28","MelbourneAirport",5.4,16.4,0.6,"E",57,"No",78,5,1025.4,"NNW","W","No"
"29","Ballarat",5.5,14.9,2.4,"W",37,"Yes",98,7,1013.7,"SSW","SSW","No"
"30","Woomera",25.7,39.7,0,"SE",50,"No",68,2,1016.3,"SSE","E","No"
"31","Watsonia",2,17.3,0,"N",17,"No",100,1,1017.3,"ENE","N","No"
"32","Brisbane",17.3,32.8,0,"E",50,"No",42,1,1008.3,"SW","ENE","No"
"33","PerthAirport",4.1,19.5,0,"N",30,"No",68,0,1030.7,"ENE","N","No"
"34","Sale",9,23,0,"SE",40,"No",70,2,1016.3,"W","SE","No"
"35","PerthAirport",11.6,21.3,1,"W",39,"No",86,8,1011.4,"SSE","W","Yes"
"36","Townsville",22.3,29.8,0,"ENE",30,"No",68,6,1017,"S","N","No"
"37","Perth",10.3,24.3,0.2,"WNW",33,"No",87,5,1016.6,"SSE","WNW","Yes"
"38","Moree",6.8,21.7,0,"NE",39,"No",73,1,1017.3,"E","E","No"
"39","Portland",12.2,15.3,0,"SE",41,"No",91,8,1021,"SE","ESE","No"
"40","MelbourneAirport",9.2,31.1,0,"N",52,"No",60,1,1024.1,"N","NNW","No"
"41","Townsville",12.9,27,0,"NE",39,"No",78,1,1017.6,"SW","NW","No"
"42","Melbourne",11.1,21.8,0,"SW",48,"No",72,7,1017.3,"SW","SSW","Yes"
"43","CoffsHarbour",14.55,21.3,0,"NE",37,"No",68,0,1025.5,"NNW","NE","No"
"44","Darwin",24.6,35.5,0,"E",39,"No",62,1,1014.2,"ENE","N","Yes"
"45","NorfolkIsland",16,20.4,0.4,"S",46,"No",57,7,1024.9,"SE","SSE","Yes"
"46","AliceSprings",7,10.5,2.2,"ESE",28,"Yes",92,7,1023.6,"ESE","W","No"
"47","Townsville",14.5,27.3,0,"ENE",37,"No",62,1,1020.8,"SE","W","No"
"48","PerthAirport",0.7,18.6,0,"SE",35,"No",75,1,1025,"SSE","W","No"
"49","PerthAirport",14.8,34.9,0,"E",39,"No",36,0,1016.7,"SW","SW","No"
"50","Nuriootpa",6.2,25.4,0,"W",39,"No",61,5,1017.4,"SE","W","No"
"51","Perth",12.7,23.6,0,"SW",48,"No",52,6,1017.3,"SSE","SSW","No"
"52","Moree",12.35,18.1,0,"WSW",33,"No",68,0,1017.3,"E","SW","No"
"53","Cairns",23.2,28.4,0,"ESE",39,"Yes",91,7,1010.4,"S","S","Yes"
"54","Sale",12.9,33.8,0,"NNW",39,"No",35,1,1014.5,"N","NW","No"
"55","Wollongong",18.1,24.2,0,"NNE",33,"No",76,5,1021.7,"SSE","NE","No"
"56","Portland",8.9,12.9,1.6,"W",44,"Yes",69,7,1024,"SW","W","Yes"
"57","AliceSprings",15.7,34.9,0,"SSE",39,"No",31,1,1015.9,"ENE","NNE","Yes"
"58","Watsonia",11.9,20.6,0,"W",44,"No",90,7,1011.4,"WSW","SSW","No"
"59","Brisbane",22.3,26.5,2.6,"ENE",24,"No",86,8,1016.2,"S","NE","Yes"
"60","PerthAirport",6.6,23.2,0.2,"SSW",35,"No",98,5,1023.6,"WNW","SSW","No"
"61","Darwin",25.1,33.1,0.2,"ESE",30,"No",80,6,1008,"ENE","NE","Yes"
"62","Nuriootpa",8,21.7,0,"S",35,"Yes",93,8,1011.2,"ESE","SE","No"
"63","Cairns",25.7,33.7,0,"SSE",56,"No",67,7,1007.6,"SSE","SE","Yes"
"64","Cobar",0.8,14.4,0,"S",26,"No",70,0,1017.3,"S","SSE","No"
"65","Wollongong",21.2,25.5,3.8,"ENE",33,"Yes",79,8,1026.9,"NE","ENE","Yes"
"66","Uluru",9.9,24.6,0,"SSW",44,"No",68,8,1021.1,"SSW","SSW","No"
"67","Bendigo",7.8,23.4,0,"N",44,"No",69,0,1028.3,"ESE","NNE","No"
"68","MelbourneAirport",5.6,12.9,1.6,"S",46,"Yes",95,7,1021.4,"SSE","SSW","No"
"69","Brisbane",20.1,28.3,0,"E",19,"No",81,6,1018.3,"SSE","NE","No"
"70","MountGambier",8.2,26,0,"SSE",41,"No",77,8,1018.6,"SSE","S","No"
"71","MelbourneAirport",8.9,14.9,0,"SSW",35,"No",66,3,1025.8,"W","SW","No"
"72","Mildura",3.1,13.7,0,"WSW",22,"No",68,1,1028.2,"SW","SW","No"
"73","Uluru",23.1,30.65,0,"SW",39,"No",68,1,1006.1,"NNW","NW","No"
"74","MountGambier",8.1,20.8,0,"E",24,"No",80,3,1017.3,"E","ESE","No"
"75","Katherine",14.9,34.1,0,"ESE",41,"No",74,0,1016.1,"SSE","SE","No"
"76","Hobart",3.4,13.4,0.2,"NW",33,"No",74,1,1028.8,"NNW","NW","No"
"77","Perth",9.1,17.9,2.8,"E",30,"Yes",97,5,1021.2,"SSW","SSW","Yes"
"78","CoffsHarbour",19.9,29.5,1.2,"NNE",33,"Yes",64,2,1019.3,"NNW","NNE","No"
"79","Brisbane",19.9,31.3,0.6,"S",52,"No",67,7,1008.1,"WNW","NNW","Yes"
"80","Watsonia",5.7,19.2,0.2,"ENE",39,"No",68,1,1017.3,"ENE","ESE","No"
"81","Darwin",24.5,31,0,"NW",31,"No",41,4,1015.5,"ESE","NW","No"
"82","NorfolkIsland",16.2,20,0.4,"NE",24,"No",61,8,1014.7,"E","NE","Yes"
"83","Nuriootpa",4.8,15.4,0,"SSW",50,"No",49,2,1019.9,"SSW","S","No"
"84","Darwin",24.3,30.3,0,"WSW",56,"Yes",81,7,1006.9,"W","NW","Yes"
"85","PerthAirport",11.6,17.3,0,"SSW",56,"Yes",91,3,1019.8,"SSW","SW","Yes"
"86","Townsville",25.3,31.6,0,"NE",37,"No",62,3,1006.9,"ESE","ENE","No"
"87","Brisbane",12.5,20.5,0,"SE",22,"No",82,7,1025.3,"SSW","N","No"
"88","NorfolkIsland",16.5,19.5,0,"NW",46,"No",69,8,1010.3,"NW","WNW","No"
"89","NorfolkIsland",17.6,19.2,1.8,"SSE",35,"Yes",69,5,1020.4,"SSW","SSE","No"
"90","Cobar",11.6,15.4,0,"WNW",31,"Yes",68,7,1014.2,"WNW","WNW","Yes"
"91","Cairns",15.8,26.2,0,"SE",48,"No",74,5,1020.1,"SSE","W","No"
"92","PerthAirport",13.3,29.7,0,"ESE",39,"No",68,1,1021.6,"SE","SSW","No"
"93","MelbourneAirport",8.9,34.3,0,"SSE",35,"No",68,4,1018.6,"WSW","SSE","No"
"94","PerthAirport",18.5,30.6,0,"SW",39,"No",68,6,1016.1,"SE","SSE","No"
"95","Sale",11.4,26.6,0,"WSW",33,"No",70,4,1018.9,"W","WNW","No"
"96","Albury",5,12.6,1.4,"WNW",52,"Yes",100,8,1025.6,"ENE","W","No"
"97","Darwin",28.1,33.1,0,"E",39,"No",76,7,1007.7,"W","WNW","No"
"98","MelbourneAirport",2.2,13,0,"N",26,"No",85,7,1024.3,"N","W","No"
"99","Watsonia",10.2,20.6,0,"E",26,"No",95,0,1024.1,"NE","NE","No"
"100","AliceSprings",14.2,38.2,0,"SSE",41,"No",68,1,1013.7,"ENE","SSE","No"
"101","Watsonia",9.2,14,3.4,"SW",43,"Yes",96,7,1017,"W","W","No"
"102","PerthAirport",17.6,22.1,0,"SE",39,"No",75,7,1023.1,"SE","SE","No"
"103","Brisbane",24.1,30.7,0,"W",48,"No",65,6,1017.3,"N","SSW","Yes"
"104","Sydney",13.6,24.6,0,"E",28,"No",68,1,1021.4,"W","NE","No"
"105","NorfolkIsland",21.2,21.8,0.4,"ESE",48,"No",82,7,1018.2,"SSE","ESE","No"
"106","WaggaWagga",4.5,19,0,"ENE",30,"No",73,1,1021,"NE","SSE","No"
"107","PerthAirport",9.8,21.5,0,"E",39,"No",51,7,1022.1,"SSE","NNE","No"
"108","PerthAirport",9.4,18.1,0,"NE",39,"No",60,2,1018.6,"NNE","NE","No"
"109","Portland",5.5,14.9,0,"W",57,"No",64,5,1013.6,"NW","W","No"
"110","Watsonia",6.5,12.9,0,"SW",24,"No",100,7,1030.6,"ENE","S","No"
"111","Hobart",10,18,0,"NNW",50,"No",83,7,1018.7,"NW","W","No"
"112","PerthAirport",7.5,13.2,0,"S",39,"Yes",96,7,1007.7,"WSW","S","Yes"
"113","MountGambier",8.2,18.5,5.4,"SW",39,"Yes",97,8,1017.4,"S","SW","No"
"114","Watsonia",9.6,22,0,"W",37,"Yes",68,6,1018.5,"W","SW","No"
"115","Wollongong",16.8,20.1,0,"SE",46,"No",69,8,1017.3,"SSE","SSE","Yes"
"116","AliceSprings",22.3,28.8,0,"SE",54,"No",48,7,1008,"SSE","W","No"
"117","PerthAirport",19.8,37,4.4,"N",39,"Yes",61,7,1009.8,"N","NNW","No"
"118","Hobart",12.9,20.1,0,"SE",35,"No",54,6,1015.1,"ESE","SE","No"
"119","Woomera",21.8,26.95,0,"WSW",39,"No",68,2,1013.7,"ENE","WSW","No"
"120","MountGambier",2.1,17.8,0,"S",31,"No",92,5,1014.8,"SSE","SSW","No"
"121","PerthAirport",18.5,32.4,0,"E",50,"No",45,0,1024.4,"E","ESE","No"
"122","Cairns",22.3,30.7,0,"E",37,"Yes",83,7,1011.3,"SSE","SE","Yes"
"123","Uluru",10.6,20.3,0,"SSW",26,"No",48,5,1021.3,"ESE","SE","No"
"124","Darwin",23.1,33.3,0,"E",43,"No",64,6,1013.3,"SE","E","No"
"125","WaggaWagga",8.4,25.3,0,"SW",31,"No",68,1,1020.5,"W","WSW","No"
"126","SydneyAirport",15.5,22.9,0,"WNW",39,"No",47,7,1008.2,"W","W","No"
"127","Sale",9.5,17.9,0.2,"W",39,"No",57,6,1010.4,"WNW","W","No"
"128","PerthAirport",12.1,25.6,0,"SW",37,"No",57,2,1018.8,"SE","SSW","No"
"129","Townsville",24.8,32.7,0,"ENE",41,"No",64,4,1010.3,"SE","ENE","No"
"130","Brisbane",16.8,27.4,0.2,"E",26,"No",47,6,1026.4,"ESE","ESE","Yes"
"131","Brisbane",9.6,20.1,0,"W",33,"No",66,1,1012.1,"W","WNW","No"
"132","MelbourneAirport",5.1,18.2,0,"WNW",46,"No",48,2,1017.3,"WSW","W","No"
"133","Watsonia",10.3,20.5,0,"E",50,"No",68,2,1017.2,"NNE","N","Yes"
"134","SydneyAirport",8.9,20.3,0,"NW",20,"No",78,7,1029.2,"NW","NE","Yes"
"135","Hobart",8.5,18.4,0.2,"NW",39,"No",43,2,1006.7,"NW","NW","Yes"
"136","PerthAirport",17.1,31.7,0,"E",39,"No",31,1,1021.7,"ENE","S","No"
"137","Cobar",7.3,21.7,0,"S",43,"No",55,0,1018.5,"SSE","W","No"
"138","Cobar",12.3,13.3,4.5,"SW",39,"Yes",94,8,1017.3,"SSE","SSW","Yes"
"139","Williamtown",20.8,25.4,0,"ESE",39,"No",56,8,1020.7,"ESE","SE","No"
"140","Cairns",20.7,27,3.2,"SE",54,"No",74,4,1018,"SSE","SE","Yes"
"141","Watsonia",8.4,24,1.8,"E",31,"Yes",65,7,1013,"W","WSW","No"
"142","PerthAirport",5.2,16.5,0,"NE",39,"No",68,2,1024.6,"E","NE","No"
"143","SydneyAirport",6.3,17.6,0,"WSW",39,"No",57,4,1017.3,"WNW","W","No"
"144","CoffsHarbour",6.6,25.1,0,"WNW",33,"No",38,1,1014.1,"SSE","W","No"
"145","Cobar",16.1,28,0,"E",46,"No",59,6,1030.5,"E","E","No"
"146","Bendigo",14.3,35.4,0,"SSE",50,"No",28,1,1017.3,"SSE","SE","No"
"147","Cairns",22.2,31.3,0,"ESE",31,"No",59,3,1013,"SSE","E","No"
"148","Bendigo",5.7,17.2,0,"NNW",48,"No",68,1,1018.1,"NNE","NNW","No"
"149","Sale",7.7,23.1,0,"SSW",30,"No",71,7,1018.1,"WNW","SSE","Yes"
"150","PerthAirport",12.1,20.1,0.2,"S",26,"No",91,7,1025,"SE","ESE","No"
"151","Canberra",15.1,20.4,0,"E",50,"No",73,7,1015.5,"E","W","No"
"152","Watsonia",8.4,19,0,"SW",33,"No",68,7,1013.8,"SSE","SW","No"
"153","Sydney",15.1,18.7,0,"SSE",39,"No",68,7,1016.2,"SSE","W","Yes"
"154","Sale",7.7,13.7,0,"SSW",35,"No",89,5,1025.2,"W","SSW","No"
"155","PerthAirport",12.1,32.6,0,"S",37,"No",40,7,1015.8,"ENE","ENE","No"
"156","Melbourne",3.1,15.2,0,"NNE",43,"No",80,1,1017.3,"N","NNE","No"
"157","Mildura",4.2,18.8,0,"W",30,"No",82,7,1030.4,"SW","WSW","No"
"158","Sale",9,14.4,0,"WNW",59,"No",75,3,1018.3,"W","W","No"
"159","Mildura",4.3,14.6,0,"S",33,"No",93,1,1026.3,"SSW","S","No"
"160","Katherine",24.4,39.3,0,"NW",35,"No",74,1,1009.9,"NW","NNW","No"
"161","Ballarat",12,30.4,0,"WSW",57,"No",42,2,1017.3,"NNE","S","No"
"162","Portland",8,15.4,2.8,"W",57,"Yes",68,6,1018.9,"NW","NW","No"
"163","Woomera",16.9,31.9,0,"SSE",39,"No",75,5,1019.6,"SE","ENE","No"
"164","Hobart",9.9,13.5,2,"S",48,"Yes",79,6,1013.4,"SSW","SSE","Yes"
"165","Mildura",10.15,17.1,1.2,"WNW",50,"Yes",82,7,1015.4,"NW","W","Yes"
"166","Townsville",23.3,29.4,1.2,"E",43,"Yes",78,7,1013,"SE","E","No"
"167","Cobar",13,26.8,0,"WSW",31,"No",44,1,1018.9,"S","W","No"
"168","Moree",19.1,29.1,0,"N",37,"No",71,7,1017.5,"SSE","ESE","No"
"169","Nuriootpa",5,18.5,0.2,"WNW",33,"No",59,8,1023.5,"SW","WSW","No"
"170","Katherine",14.8,33.1,0,"E",43,"No",33,0,1017.3,"SE","SSE","No"
"171","Cobar",23.2,39.8,0,"SSE",39,"No",32,1,1013.6,"ENE","W","No"
"172","Canberra",16.6,24.2,0.2,"NW",39,"No",72,7,1007.9,"WNW","NW","Yes"
"173","Sydney",21,25.7,0,"W",39,"No",68,1,1002.9,"SW","WSW","No"
"174","AliceSprings",16.6,32.1,0,"NW",52,"No",68,0,1017.3,"NNW","NW","No"
"175","Portland",14.3,19.8,0,"SW",41,"No",67,8,1017.3,"SSE","SE","No"
"176","Sydney",11.9,23.4,0,"NW",50,"No",58,0,1019.5,"N","W","No"
"177","PerthAirport",7.4,24,0,"SSW",44,"No",56,0,1021.2,"S","S","No"
"178","CoffsHarbour",5.2,19.3,0,"NW",20,"No",48,3,1017.3,"WNW","SE","No"
"179","Moree",9.5,25,0,"ENE",35,"No",68,2,1026.1,"E","E","No"
"180","Nuriootpa",7.6,23.4,0,"WNW",41,"No",64,4,1024.5,"NNW","WNW","No"
"181","Townsville",24.4,29.7,0,"SSE",39,"No",62,7,1017.3,"S","S","No"
"182","Moree",10.7,30.9,0,"ENE",28,"No",54,1,1013.5,"ENE","N","No"
"183","Portland",13.3,16.1,3.8,"NW",46,"Yes",88,4,1017.3,"NW","W","No"
"184","PerthAirport",19.5,36,0,"E",57,"No",53,0,1017.3,"ENE","WSW","No"
"185","Canberra",-0.2,10.5,0,"WNW",52,"No",71,1,1020.3,"NW","NW","No"
"186","WaggaWagga",3.4,20.9,0,"WNW",28,"No",78,1,1018.1,"E","SSW","No"
"187","Cairns",22.15,29.1,0,"NE",44,"No",60,1,1016.5,"SE","NNE","No"
"188","PerthAirport",18.9,23.2,0,"S",43,"No",49,3,1017.5,"ESE","W","No"
"189","Wollongong",11.8,18.3,0,"WSW",56,"No",68,8,1019.2,"WSW","S","No"
"190","Wollongong",14.4,20.1,0,"ENE",39,"No",75,7,1016.1,"NNE","NE","Yes"
"191","PerthAirport",20,26.1,0,"SSW",28,"No",55,7,1018.9,"SW","ESE","No"
"192","Woomera",14.5,33.3,0,"E",54,"No",68,5,1012,"ENE","N","No"
"193","AliceSprings",9.3,32.1,0,"E",28,"No",48,7,1021.2,"SSW","SSE","No"
"194","Perth",12.8,18,4.8,"WNW",33,"Yes",67,3,1004.6,"WNW","WNW","Yes"
"195","Canberra",2.4,20.4,0,"NW",39,"No",53,2,1009.4,"WNW","NW","Yes"
"196","Williamtown",14.15,18.2,0,"W",39,"No",68,0,1018,"W","SW","No"
"197","MountGambier",10.3,17.4,0.8,"WSW",39,"No",68,2,1016.4,"SSE","W","Yes"
"198","Canberra",15.9,23.4,0,"ESE",50,"No",69,8,1016.8,"ESE","ESE","No"
"199","Nuriootpa",18.6,22.2,0,"E",44,"No",58,4,1010,"W","WNW","Yes"
"200","Canberra",-1.9,7.3,0,"WNW",39,"No",68,8,1030.7,"SSW","WSW","No"
"201","Wollongong",19,21.5,6,"S",56,"No",90,8,1020,"SW","SW","Yes"
"202","Williamtown",8.5,21.2,1,"SE",31,"No",68,4,1017.3,"WNW","SSE","No"
"203","Perth",6,18.2,4.2,"SW",17,"Yes",87,1,1026.4,"SSE","W","No"
"204","MelbourneAirport",16.7,18.9,4.4,"WSW",54,"Yes",68,8,1017.3,"SSE","SSW","Yes"
"205","Townsville",24.3,30.4,0,"E",44,"No",62,4,1009.6,"ESE","ENE","No"
"206","MountGambier",0.4,13.2,2.6,"WNW",26,"Yes",83,4,1031,"WNW","W","No"
"207","Cairns",24.4,32.4,0,"E",37,"No",83,8,1013.5,"S","ESE","No"
"208","Darwin",24.9,32.2,4,"NW",37,"No",68,7,1017.3,"N","NNW","Yes"
"209","PerthAirport",5.2,22.3,0,"SE",39,"No",68,6,1028.1,"ENE","SSW","No"
"210","Portland",18,21.4,0,"S",50,"No",78,3,1012.5,"SSW","S","No"
"211","Cobar",11.6,31,0,"E",22,"No",69,1,1004.3,"E","SSW","No"
"212","Mildura",9.6,23.3,0,"NW",35,"No",76,6,1017.3,"N","W","No"
"213","Katherine",12,31.7,0,"E",35,"No",49,7,1016.6,"SSE","W","No"
"214","PerthAirport",16.4,27.5,0,"E",37,"No",56,3,1022.1,"SE","ENE","No"
"215","Moree",3.1,26.55,0,"NNW",33,"No",59,3,1017.7,"SSE","W","No"
"216","Portland",9.7,10.7,0,"E",39,"Yes",89,8,1017.3,"SSE","W","Yes"
"217","Moree",6.1,24.7,0,"NE",31,"No",57,0,1025.7,"SSE","ENE","Yes"
"218","PerthAirport",12.1,19.4,2.2,"WSW",28,"Yes",94,7,1016.4,"SSW","SW","No"
"219","MelbourneAirport",5.6,12.4,0,"NNE",39,"No",87,8,1020,"N","NNE","Yes"
"220","Sale",10,19.4,0,"S",37,"No",68,3,1016.8,"W","SE","No"
"221","Bendigo",10.7,24.5,0,"NNW",54,"No",68,6,1015.5,"NE","N","Yes"
"222","Townsville",23.7,31,0,"E",43,"Yes",78,7,1011.4,"SE","W","Yes"
"223","Cairns",19.4,25.8,4.2,"SSE",54,"Yes",86,7,1019.4,"S","SE","Yes"
"224","PerthAirport",14.3,23.2,0,"SSE",35,"No",66,3,1025.1,"SSE","E","No"
"225","Nuriootpa",6.4,26,0,"ENE",48,"No",63,3,1026.5,"SSE","N","No"
"226","NorfolkIsland",16.8,21.8,0.2,"E",43,"No",87,7,1018.2,"SE","SE","No"
"227","Moree",12.35,34,0,"NE",44,"No",52,1,1011.5,"E","E","No"
"228","WaggaWagga",19.8,22.8,0,"E",33,"No",69,7,1005.1,"E","SE","Yes"
"229","Brisbane",16.9,26.5,4.4,"E",26,"Yes",58,2,1018.6,"SSE","ENE","No"
"230","Moree",13.6,29,0,"SSW",39,"No",85,0,1017.3,"SE","SW","No"
"231","SydneyAirport",18.5,25.6,0,"NNE",37,"No",87,7,1017.3,"S","E","No"
"232","Albury",10,9.7,5.2,"NNW",44,"Yes",91,8,1006.6,"NNW","WNW","No"
"233","WaggaWagga",0.9,12.8,0,"W",17,"No",82,7,1028.8,"E","SW","No"
"234","Moree",17.4,29.9,0,"ENE",43,"No",59,2,1017.7,"E","ENE","No"
"235","Sale",9,31.4,0,"SE",50,"No",71,2,1019.8,"WNW","SSE","No"
"236","Melbourne",13.5,29.9,0,"N",37,"No",68,3,1017.9,"N","N","No"
"237","Darwin",24.3,32.1,7,"WSW",31,"Yes",68,5,1009,"SSE","W","No"
"238","Mildura",11.5,28.8,0,"E",37,"No",49,6,1013.2,"SE","S","No"
"239","Brisbane",10.4,22.4,0,"W",35,"No",50,0,1012.5,"WNW","W","No"
"240","Sydney",18.5,25.5,0,"ENE",31,"No",71,5,1021.9,"N","E","No"
"241","Nuriootpa",10.2,28.6,0,"SE",33,"No",35,1,1023.9,"E","SW","No"
"242","PerthAirport",20.3,27.5,0,"SW",41,"No",50,4,1012.6,"SSE","SW","No"
"243","Portland",6.6,14.1,2,"E",44,"Yes",72,8,1019.8,"SW","WNW","Yes"
"244","Sale",4.2,15.9,0,"W",31,"No",71,8,1022.4,"N","W","No"
"245","Cairns",15.9,26.7,0,"SE",44,"No",59,3,1018.4,"S","W","Yes"
"246","Albury",11.8,34.6,0,"WSW",44,"No",57,5,1012.7,"SSE","NNW","No"
"247","Brisbane",12.1,22.8,0,"W",17,"No",69,6,1030.6,"SW","W","No"
"248","Wollongong",15.1,20.1,0,"NNW",37,"No",59,6,1006.1,"NW","E","No"
"249","Perth",13,24.9,0,"SW",44,"No",53,5,1019.3,"S","SSW","No"
"250","SydneyAirport",15.2,24.1,0,"SSW",50,"No",42,1,1013.4,"W","W","No"
"251","Sale",9.5,14.4,0.8,"E",26,"No",68,8,1017.3,"W","W","No"
"252","Melbourne",10.2,15.4,0,"S",39,"No",70,4,1017,"NW","S","Yes"
"253","Richmond",18.3,34,0,"NE",28,"No",76,8,1019.6,"NNE","ENE","No"
"254","PerthAirport",21.9,28.3,0,"SE",35,"No",65,7,1011.7,"WSW","SE","Yes"
"255","NorfolkIsland",18.1,25.2,0,"W",31,"No",68,1,1017.6,"WNW","W","Yes"
"256","Watsonia",13.9,20,0,"SSW",39,"No",56,7,1004.8,"SSE","SW","No"
"257","SydneyAirport",13.8,23.5,0.4,"W",39,"No",38,4,1017.3,"WNW","WNW","No"
"258","Townsville",17.3,27.9,0,"NE",30,"No",54,6,1015.3,"SE","NE","No"
"259","Katherine",21,34.1,0,"E",31,"No",64,1,1013.5,"NW","ESE","No"
"260","Townsville",23.6,28.4,0,"ESE",54,"No",70,8,1019.4,"ESE","W","No"
"261","NorfolkIsland",18.6,21.8,0,"NW",39,"No",89,7,1015,"NW","WNW","No"
"262","Watsonia",7.3,19,0,"SSW",22,"No",85,2,1017.3,"ENE","SSW","No"
"263","PerthAirport",27.6,33.2,0,"WNW",37,"No",69,6,1017.3,"WNW","W","No"
"264","MelbourneAirport",5.2,13.1,0.2,"N",45,"No",80,7,1027.3,"N","N","No"
"265","Cobar",8.9,25.4,0,"NNW",33,"No",48,0,1023,"ENE","NW","No"
"266","PerthAirport",9.1,31.3,0,"NNE",35,"No",68,1,1018.2,"SSE","N","No"
"267","Mildura",5,14.3,0,"WNW",22,"No",97,8,1011.2,"WSW","W","No"
"268","NorfolkIsland",13.1,21.8,0,"SW",39,"No",62,5,1021.2,"SW","S","No"
"269","PerthAirport",8.8,23.7,0.4,"SSE",37,"No",56,1,1027.2,"SSE","S","No"
"270","SydneyAirport",22,22,0,"NE",39,"No",58,3,1016.9,"N","NE","No"
"271","Sale",12.2,17.7,0.6,"ESE",35,"No",80,8,1015.1,"SE","ESE","Yes"
"272","Woomera",4.3,19.6,0,"E",30,"No",62,0,1027.3,"NE","NNW","No"
"273","PerthAirport",25.4,35.2,0,"E",33,"No",68,2,1010,"E","NNW","No"
"274","Brisbane",14.1,26.9,0,"E",20,"No",51,5,1019.3,"SW","NE","No"
"275","PerthAirport",12.1,26.2,0,"W",35,"No",49,0,1018.8,"NE","WSW","No"
"276","Cairns",24,30.8,0,"ESE",50,"No",66,7,1015.8,"SSE","ESE","No"
"277","SydneyAirport",8.5,19.8,0,"NE",28,"No",74,2,1028.9,"NW","NE","No"
"278","MountGambier",9.5,22.8,0,"NW",39,"No",46,8,1003.4,"N","W","Yes"
"279","Brisbane",14,21.4,1.6,"SE",26,"Yes",84,6,1029.7,"SSE","ESE","Yes"
"280","PerthAirport",12.1,29.2,2.2,"E",50,"Yes",69,5,1008.3,"WSW","SE","Yes"
"281","Cairns",22.15,29.75,6.8,"S",37,"Yes",86,7,1013.7,"SSE","WSW","Yes"
"282","PerthAirport",8.4,15.6,0,"WSW",50,"Yes",68,6,1021.4,"S","SSW","No"
"283","Cobar",5.8,18.4,0,"E",30,"No",76,1,1019.1,"NW","S","No"
"284","Mildura",20.5,22.8,0,"E",37,"Yes",97,8,1006.7,"SSE","ENE","Yes"
"285","Cobar",12.4,14.2,1.2,"E",24,"Yes",94,8,1019.2,"ENE","ENE","Yes"
"286","Albury",6.6,11.3,6,"SW",52,"Yes",85,8,1013,"W","WNW","Yes"
"287","PerthAirport",25.1,33.8,0,"NW",22,"No",74,5,1012.8,"SSW","WSW","No"
